ID#,Extinction_Index_x,Extinction_Index_y,Ra(deg),Dec(deg),Rotation_Measure(rad/m2),RM_Err(rad/m2),RA_inExtincFile(degree),Dec_inExtincFile(degree),Extinction_Value,Error_Range(pix),Min_Extinction_Value,Min_Extinction_Ra,Min_Extinction_Dec,Max_Extinction_Value,Max_Extinction_RA,Max_Extinction_dec
24,881,330,54.40416666666667,29.42027777777778,-6.5,16.3,54.40010706876755,29.41856348788716,0.10089728,1,0.08842668,54.37545636341431,29.39256256894157,0.8340492,54.42477677319357,29.444566590291736
40,743,477,57.9625,33.228750000000005,33.8,14.3,57.97171048052667,33.23714194553346,0.2923265,1,0.10255784,57.99919289219896,33.26321230165002,1.0436487,57.944248842720086,33.21106971727737
2,1012,508,50.083333333333336,33.35033333333333,22.6,1.3,50.07370492024528,33.3543854822142,0.41394758,1,0.358356,50.10204479021781,33.35763778427869,1.0734937,50.049827288694445,33.32709769991129
26,880,340,54.40416666666667,29.667416666666668,-4.3,13.2,54.39803623317474,29.660539295018964,0.56505907,1,0.27354112,54.36733457215312,29.682505199600467,1.2486981,54.42575412575904,29.66257795394145
11,940,513,52.11666666666667,33.706,56.8,8.9,52.11215021148104,33.69446184859157,0.61636984,1,0.025908291,52.13716420222538,33.72155120531755,1.2412719,52.144848504537485,33.67303211440523
28,862,505,54.40416666666667,33.70852777777778,117.3,11.8,54.40573120426205,33.70026816101856,0.618399,1,0.40350524,54.37965704253624,33.67351660378429,1.3003927,54.43495740052839,33.702573595766175
34,827,509,55.42083333333333,33.87280555555556,56.5,19.2,55.42029662190828,33.87509064206058,0.8237673,1,0.38936216,55.44691248740472,33.90169938304861,1.0813344,55.42312114730653,33.85056567877082
27,869,441,54.40416666666667,32.134055555555555,175.4,11.5,54.40212881894734,32.12443096605634,0.92206407,1,0.9185394,54.433816268701065,32.102330980515944,1.3387742,54.42768341450873,32.15094036369792
4,1004,312,51.1,28.70488888888889,-41.4,12.8,51.11013177229913,28.704176811976435,0.92868495,1,0.92868495,51.11013177229913,28.704176811976435,2.180119,51.140866966277095,28.68318296741528
19,926,340,53.13333333333333,29.549722222222226,33.0,12.1,53.12816737929017,29.560864080078662,0.9465114,1,0.8629398,53.13151680632422,29.536964693426853,1.0302052,53.10403530801746,29.53467357811053
25,878,355,54.40416666666667,30.01377777777778,-3.5,17.3,54.40882902690905,30.025179635986017,0.9476806,1,0.602746,54.41181823931761,30.00112090621389,1.3843211,54.4058379903549,30.049241297773914
