ID#,Extinction_Index_x,Extinction_Index_y,Ra(deg),Dec(deg),Rotation_Measure(rad/m2),RM_Err(rad/m2),RA_inExtincFile(degree),Dec_inExtincFile(degree),Extinction_Value,Error_Range(pix),Min_Extinction_Value,Min_Extinction_Ra,Min_Extinction_Dec,Max_Extinction_Value,Max_Extinction_RA,Max_Extinction_dec
71,690,122,60.0,24.73305555555556,34.3,16.8,60.01141991024766,24.731626359515182,-0.19017579,1,0.099399455,59.98364327333508,24.75434828580656,0.40162227,59.98605301804612,24.70745482900941
66,694,247,59.74166666666667,27.687944444444444,41.7,12.2,59.745858907246216,27.69447949431528,0.048518613,1,0.06081214,59.77342189651803,27.695343892891312,0.877946,59.7196281948583,27.669622071390773
45,881,330,54.40416666666667,29.42027777777778,-6.5,16.3,54.40010706876755,29.41856348788716,0.10089728,1,0.08842668,54.37545636341431,29.39256256894157,0.8340492,54.42477677319357,29.444566590291736
94,593,239,62.54166666666666,27.56566666666667,25.8,18.5,62.54161184021474,27.561896345614095,0.12492893,1,0.012534539,62.54208886102239,27.537869005369803,0.65029305,62.51397724678971,27.56158173443167
203,8,386,79.06666666666666,30.28686111111111,-47.2,13.3,79.05272817777966,30.279603781731616,0.211693,1,0.009928935,79.05725299815683,30.30322735607093,0.332984,79.0797469889366,30.276462796074117
161,254,46,71.4375,22.839666666666663,-36.3,12.4,71.44556155601163,22.84598754876756,0.2812475,1,0.15634377,71.4476365547076,22.868896388505807,0.69450414,71.41779013010252,22.824262940085568
40,935,263,53.13333333333333,27.7035,38.7,3.0,53.13847506174033,27.710889702420783,0.2919963,1,0.08244625,53.135205303448885,27.73451603390372,0.8830315,53.168585683149566,27.68940628191689
81,653,95,61.016666666666666,24.123444444444445,-16.4,15.6,61.02012958625284,24.123130915586064,0.3420321,1,0.062066387,61.01923199535911,24.146478969010563,0.948403,61.047442241951785,24.10031822989173
141,374,276,68.64166666666667,28.38636111111111,-10.8,5.5,68.6392268659524,28.38819516209896,0.3789289,1,0.29469612,68.6100595962241,28.365015447932343,0.95334464,68.64060678155444,28.412294128746485
128,421,40,67.11666666666666,22.848555555555556,14.7,15.8,67.11446752862341,22.847820815493392,0.45850834,1,0.25280133,67.1413414139486,22.87039686938474,1.4401237,67.08930219501613,22.871372760697906
